Date,Open,High,Low,Close,Adj Close,Volume
2024-01-25,756.000000,767.700012,755.150024,763.049988,763.049988,2297563
2024-01-29,763.950012,768.900024,747.049988,752.049988,752.049988,3108252
2024-01-30,753.000000,767.000000,753.000000,761.099976,761.099976,3415910
2024-01-31,758.150024,774.299988,753.099976,761.200012,761.200012,2932281
2024-02-01,609.000000,609.000000,609.000000,609.000000,609.000000,1319654
2024-02-02,487.200012,487.200012,487.200012,487.200012,487.200012,8816560
2024-02-05,438.500000,438.500000,438.500000,438.500000,438.500000,7385809
2024-02-06,395.000000,473.549988,395.000000,451.149994,451.149994,63835202
2024-02-07,463.000000,496.250000,462.000000,496.250000,496.250000,20273368
2024-02-08,525.000000,528.000000,446.649994,446.649994,446.649994,21240680
2024-02-09,420.000000,438.000000,410.000000,419.850006,419.850006,14918098
2024-02-12,430.049988,435.500000,411.200012,422.200012,422.200012,10958969
2024-02-13,403.000000,408.000000,380.000000,380.149994,380.149994,11455765
2024-02-14,355.000000,360.149994,342.149994,342.149994,342.149994,15657904
2024-02-15,326.700012,338.450012,325.049988,325.049988,325.049988,10324976
2024-02-16,325.000000,341.299988,318.049988,341.299988,341.299988,19113793
2024-02-19,358.350006,358.350006,358.350006,358.350006,358.350006,1205875
2024-02-20,376.250000,376.250000,376.250000,376.250000,376.250000,1009337
2024-02-21,395.049988,395.049988,395.049988,395.049988,395.049988,1021399
2024-02-22,400.000000,402.950012,380.600006,388.350006,388.350006,21147933
2024-02-23,392.000000,407.750000,385.000000,407.750000,407.750000,7919872
2024-02-26,420.000000,428.100006,420.000000,428.100006,428.100006,8475917
2024-02-27,418.000000,449.500000,413.200012,427.549988,427.549988,20736054
2024-02-28,432.000000,432.000000,406.200012,406.200012,406.200012,4426529
2024-02-29,395.000000,419.399994,385.899994,403.299988,403.299988,13630735
2024-03-01,416.100006,423.450012,413.200012,423.450012,423.450012,4664243
2024-03-04,410.799988,424.200012,400.000000,418.200012,418.200012,3333960
2024-03-05,418.000000,418.000000,399.350006,404.149994,404.149994,5331595
2024-03-06,404.149994,404.149994,384.100006,393.049988,393.049988,2957807
2024-03-07,405.000000,405.250000,396.000000,400.750000,400.750000,1612307
2024-03-11,409.950012,409.950012,386.250000,388.799988,388.799988,1902348
2024-03-12,388.750000,391.149994,369.399994,369.399994,369.399994,3361826
2024-03-13,370.500000,372.450012,350.950012,350.950012,350.950012,2583164
2024-03-14,336.250000,362.149994,334.250000,353.049988,353.049988,5453642
2024-03-15,370.700012,370.700012,367.250000,370.700012,370.700012,5064403
2024-03-18,379.000000,389.200012,373.049988,389.200012,389.200012,7280856
2024-03-19,397.049988,408.649994,391.600006,406.350006,406.350006,8749001
2024-03-20,416.000000,425.700012,405.000000,420.250000,420.250000,6512954
2024-03-21,432.000000,437.399994,405.000000,410.850006,410.850006,5120160
2024-03-22,412.850006,417.450012,398.149994,402.350006,402.350006,2574779
2024-03-26,402.350006,404.500000,394.049988,398.450012,398.450012,2363658
2024-03-27,397.000000,415.299988,394.000000,396.799988,396.799988,4405505
2024-03-28,402.399994,404.950012,399.000000,402.649994,402.649994,2536846
2024-04-01,402.750000,410.000000,400.000000,406.049988,406.049988,1667152
2024-04-02,410.000000,422.000000,405.000000,416.350006,416.350006,3213704
2024-04-03,416.350006,419.399994,409.950012,410.899994,410.899994,1256770
2024-04-04,412.399994,417.000000,410.000000,410.799988,410.799988,985713
2024-04-05,410.399994,422.649994,410.000000,417.549988,417.549988,2363933
2024-04-08,418.000000,422.149994,411.200012,412.200012,412.200012,870287
2024-04-09,416.000000,416.450012,402.899994,404.200012,404.200012,926611
2024-04-10,400.000000,403.950012,388.000000,400.549988,400.549988,3363668
2024-04-12,400.649994,402.299988,391.000000,391.600006,391.600006,1334563
2024-04-15,381.000000,398.600006,377.549988,389.750000,389.750000,1637503
2024-04-16,389.250000,397.399994,385.350006,391.350006,391.350006,1098457
2024-04-18,401.000000,409.000000,387.000000,388.500000,388.500000,1258964
2024-04-19,388.000000,388.000000,377.000000,377.850006,377.850006,1590630
2024-04-22,382.950012,388.450012,375.799988,377.700012,377.700012,922319
2024-04-23,384.500000,384.500000,375.549988,382.700012,382.700012,1509139
2024-04-24,385.049988,391.350006,380.600006,382.649994,382.649994,1241887
2024-04-25,382.500000,384.250000,378.000000,379.049988,379.049988,794300
2024-04-26,380.600006,382.000000,375.799988,376.899994,376.899994,1165552
